id,state,county,areaname,1900,1910,1920,1930,1940,1950,1960,1970
,Alaska Territory,Northern District,Northern District,60,0,1703,1590,0,5772,fill
31001,Nebraska,Adams,Adams,97,91,102,106,163,209,112
35053,New Mexico,Socorro,Socorro,fill,26,26,5,16,47,68
31003,Nebraska,Antelope,Antelope,9,4,1,0,6,0,0
55091,Wisconsin,Pepin,Pepin,1,1,0,1,0,2,0
45069,South Carolina,Marlboro,Marlboro,18928,19661,18008,17924,16509,13812,11832
40115,Oklahoma,Ottawa,Ottawa,11,18,2,3,15,2,74
55129,Wisconsin,Washburn,Washburn,3,9,7,5,4,10,9
11001,District Of Columbia,District Of Columbia,District Of Columbia,94446,109966,fill,187266,280803,411737,537570
48099,Texas,Coryell,Coryell,488,630,506,656,424,1293,3180
55121,Wisconsin,Trempealeau,Trempealeau,2,4,0,1,3,9,0
55123,Wisconsin,Vernon,Vernon,116,54,123,46,17,7,10
45065,South Carolina,McCormick,Mccormick,fill,11268,7696,7036,5996,5318,4800
55125,Wisconsin,Vilas,Vilas,10,1,2,1,3,0,5
55127,Wisconsin,Walworth,Walworth,64,65,81,73,112,158,357
28087,Mississippi,Lowndes,Lowndes,21784,17944,17315,19683,18407,17743,16226
28085,Mississippi,Lincoln,Lincoln,12054,8974,9526,9672,9182,8340,8035
28083,Mississippi,Leflore,Leflore,30628,29070,40884,38970,35207,30307,24374
28081,Mississippi,Lee,Lee,10667,9755,11225,12216,10654,10284,9548
31179,Nebraska,Wayne,Wayne,1,12,5,0,3,1,4
28089,Mississippi,Madison,Madison,27298,22838,28127,28711,24925,23630,18548
48083,Texas,Coleman,Coleman,253,363,635,410,402,321,251
51079,Virginia,Greene,Greene,1339,1099,994,785,642,584,563
47009,Tennessee,Blount,Blount,1221,2675,2842,2108,2857,2760,2534
47005,Tennessee,Benton,Benton,340,225,245,284,289,316,358
47007,Tennessee,Bledsoe,Bledsoe,391,599,690,574,456,455,422
47001,Tennessee,Anderson,Anderson,921,595,457,484,1800,1964,2103
47003,Tennessee,Bedford,Bedford,5486,4358,3711,3568,2979,2760,2692
19111,Iowa,Lee,Lee,1471,1417,1353,1211,1179,1039,1006
39141,Ohio,Ross,Ross,2382,2232,2469,2747,2903,3121,2937
19113,Iowa,Linn,Linn,258,704,765,677,780,1183,1742
39143,Ohio,Sandusky,Sandusky,146,255,370,386,499,797,1056
19115,Iowa,Louisa,Louisa,17,8,19,1,2,0,0
39145,Ohio,Scioto,Scioto,1016,1348,1993,1629,1484,1666,1320
19117,Iowa,Lucas,Lucas,83,46,45,16,17,10,4
27009,Minnesota,Benton,Benton,2,12,0,0,3,4,5
19119,Iowa,Lyon,Lyon,4,15,1,1,2,1,5
27007,Minnesota,Beltrami,Beltrami,11,38,14,20,16,11,9
27005,Minnesota,Becker,Becker,4,3,1,6,31,3,5
27003,Minnesota,Anoka,Anoka,41,49,25,18,50,92,255
27001,Minnesota,Aitkin,Aitkin,46,31,11,1,5,3,4
30097,Montana,Sweet Grass,Sweet Grass,1,0,7,0,1,0,0
51055,Virginia,Elizabeth City,Elizabeth City,7992,8521,5311,6999,11245,fill,fill
48381,Texas,Randall,Randall,0,0,31,46,47,53,118
49037,Utah,San Juan,San Juan,17,0,0,0,3,19,15
51057,Virginia,Essex,Essex,5315,4898,3816,3617,3008,3163,3198
39153,Ohio,Summit,Summit,757,6577,12480,13883,26379,41256,51637
49035,Utah,Salt Lake,Salt Lake,827,810,740,781,1208,1704,2372
51051,Virginia,Dickenson,Dickenson,7,296,302,548,319,149,101
49033,Utah,Rich,Rich,0,2,0,0,0,0,0
51053,Virginia,Dinwiddie,Dinwiddie,9368,10817,11192,11718,12172,13678,11411
27139,Minnesota,Scott,Scott,1,4,4,6,6,2,14
19029,Iowa,Cass,Cass,22,31,32,7,22,14,3
39039,Ohio,Defiance,Defiance,23,28,26,10,12,17,69
16039,Idaho,Elmore,Elmore,1,7,3,1,3,333,660
19025,Iowa,Calhoun,Calhoun,11,33,21,17,17,11,39
27133,Minnesota,Rock,Rock,3,7,7,4,3,0,0
19027,Iowa,Carroll,Carroll,31,31,17,7,7,3,0
27131,Minnesota,Rice,Rice,21,29,15,29,28,36,110
19021,Iowa,Buena Vista,Buena Vista,0,17,0,1,3,3,32
27137,Minnesota,St Louis,St Louis,439,531,453,349,383,653,1051
16031,Idaho,Cassia,Cassia,1,34,2,0,18,31,29
27135,Minnesota,Roseau,Roseau,2,1,1,1,2,0,11
51800,Virginia,Suffolk City,Suffolk City,fill,3616,3806,3837,4521,4699,3660
51059,Virginia,Fairfax,Fairfax,4864,4546,4803,6513,9700,13821,15219
12051,Florida,Hendry,Hendry,fill,fill,1327,1760,1448,1984,2600
12053,Florida,Hernando,Hernando,2781,1825,1523,1596,1536,2352,2401
12055,Florida,Highlands,Highlands,fill,fill,2677,1944,3460,4457,5972
39159,Ohio,Union,Union,264,281,311,261,310,314,369
12057,Florida,Hillsborough,Hillsborough,16445,16588,28983,31577,38238,55498,66729
12059,Florida,Holmes,Holmes,1194,1034,449,766,605,452,321
42019,Pennsylvania,Butler,Butler,217,387,342,274,369,513,449
46049,South Dakota,Faulk,Faulk,3,0,1,0,0,0,0
46047,South Dakota,Fall River,Fall River,20,30,22,21,13,10,11
42011,Pennsylvania,Berks,Berks,1007,1165,2321,2293,3328,4689,6443
46045,South Dakota,Edmunds,Edmunds,5,0,2,0,0,0,0
42013,Pennsylvania,Blair,Blair,786,1361,1268,1164,1124,1126,981
46043,South Dakota,Douglas,Douglas,2,8,0,0,0,0,0
42015,Pennsylvania,Bradford,Bradford,234,137,115,140,75,57,29
46041,South Dakota,Dewey,Dewey,0,19,12,11,9,7,45
42017,Pennsylvania,Bucks,Bucks,1832,1810,2080,1956,2491,5488,8168
51159,Virginia,Richmond,Richmond,3071,2957,2664,2532,2124,2213,2137
5147,Arkansas,Woodruff,Woodruff,11705,11434,10036,8860,7125,5741,4055
51151,Virginia,Princess Anne,Princess Anne,5818,6426,7597,7745,9876,12393,fill
51153,Virginia,Prince William,Prince William,2825,2791,2536,2556,2692,3965,5806
51155,Virginia,Pulaski,Pulaski,2930,2425,2248,2063,2069,1788,1773
51157,Virginia,Rappahannock,Rappahannock,2148,2154,1878,1590,1081,945,859
48385,Texas,Real,Real,fill,1,1,0,8,4,0
5145,Arkansas,White,White,2162,1971,1872,1612,1307,1241,1250
5143,Arkansas,Washington,Washington,614,508,471,411,422,466,578
21097,Kentucky,Harrison,Harrison,1750,1234,1022,941,643,573,529
21095,Kentucky,Harlan,Harlan,564,2901,5879,7534,5436,4055,2272
21093,Kentucky,Hardin,Hardin,1826,1566,1231,1196,2846,4597,6323
21091,Kentucky,Hancock,Hancock,566,368,284,249,185,146,144
5141,Arkansas,Van Buren,Van Buren,220,211,121,137,106,95,42
51580,Virginia,Covington City,Covington City,fill,fill,fill,fill,fill,1325,1209
21099,Kentucky,Hart,Hart,1991,1706,1403,1602,1455,1495,1365
2170,Alaska,Matanuska-Susitna,Matanuska-Susitna,fill,fill,fill,fill,fill,fill,57
26067,Michigan,Ionia,Ionia,90,112,339,394,659,1081,1091
39147,Ohio,Seneca,Seneca,157,227,358,359,448,771,1038
26065,Michigan,Ingham,Ingham,404,753,1474,1722,3239,7447,14343
26063,Michigan,Huron,Huron,8,17,9,5,5,13,42
26061,Michigan,Houghton,Houghton,61,28,26,4,10,25,40
2080,Alaska,Cordova-McCarthy,Cordova-Mc Carthy,fill,fill,fill,fill,fill,fill,3
26069,Michigan,Iosco,Iosco,5,11,4,3,5,107,692
17189,Illinois,Washington,Washington,73,36,14,7,16,2,10
17181,Illinois,Union,Union,211,188,157,160,215,282,146
17183,Illinois,Vermilion,Vermilion,2038,2899,3250,3215,3631,5203,5883
17185,Illinois,Wabash,Wabash,45,5,4,2,15,0,0
17187,Illinois,Warren,Warren,576,500,441,383,332,318,322
37093,North Carolina,Hoke,Hoke,fill,6485,8635,8653,8778,7931,7270
17167,Illinois,Sangamon,Sangamon,3633,3256,3635,3609,4479,5923,7841
5079,Arkansas,Lincoln,Lincoln,9967,12760,13090,11827,9079,6998,5424
17163,Illinois,St Clair,St Clair,8110,10136,15550,21567,34566,47857,63408
17161,Illinois,Rock Island,Rock Island,822,1553,1488,1517,2426,4290,7303
5073,Arkansas,Lafayette,Lafayette,7181,7685,8411,8126,5967,4979,4338
5071,Arkansas,Johnson,Johnson,517,329,366,296,243,259,251
5077,Arkansas,Lee,Lee,19003,22300,17409,16965,14404,12791,10868
5075,Arkansas,Lawrence,Lawrence,750,625,430,340,275,147,157
48329,Texas,Midland,Midland,26,16,259,1002,2123,6265,6386
2150,Alaska,Kodiak Island,Kodiak,fill,fill,fill,fill,fill,fill,146
48321,Texas,Matagorda,Matagorda,4457,3974,4520,4943,4809,5323,5371
48323,Texas,Maverick,Maverick,96,74,18,24,10,29,0
48325,Texas,Medina,Medina,449,278,264,300,207,174,123
48327,Texas,Menard,Menard,24,23,72,61,29,38,0
48101,Texas,Cottle,Cottle,1,245,558,397,385,341,312
48103,Texas,Crane,Crane,0,0,18,29,104,223,137
48105,Texas,Crockett,Crockett,4,24,40,115,106,126,60
39067,Ohio,Harrison,Harrison,612,603,641,586,536,571,435
48109,Texas,Culberson,Culberson,fill,2,7,11,4,7,0
48459,Texas,Upshur,Upshur,5649,6234,6933,7338,6009,5123,4231
2240,Alaska,Southeast-Fairbanks,Southeast Fairbanks,fill,fill,fill,fill,fill,fill,208
13099,Georgia,Early,Early,11273,11090,9737,9614,9215,6822,5824
13097,Georgia,Douglas,Douglas,2171,2951,2271,2173,1984,2479,2609
13095,Georgia,Dougherty,Dougherty,12049,13370,12816,15537,18693,25922,30716
13093,Georgia,Dooly,Dooly,12728,12279,10064,9331,7509,6027,5210
13091,Georgia,Dodge,Dodge,8460,9015,7998,6976,5405,4584,3981
48215,Texas,Hidalgo,Hidalgo,62,87,491,680,609,456,395
36119,New York,Westchester,Westchester,8986,11066,23044,31346,38061,60455,84272
13259,Georgia,Stewart,Stewart,10381,8644,7930,7721,6664,5200,4196
48213,Texas,Henderson,Henderson,4177,4860,5792,6115,4766,4511,4567
13255,Georgia,Spalding,Spalding,10060,10206,8154,8941,8545,9973,10547
36111,New York,Ulster,Ulster,2026,985,1339,2230,2371,4003,4930
13251,Georgia,Screven,Screven,12165,13850,11621,11607,10148,7825,5881
36115,New York,Washington,Washington,197,238,386,532,479,539,817
9015,Connecticut,Windham,Windham,425,345,275,230,208,279,494
9011,Connecticut,New London,New London,1431,1425,1586,1698,2428,4566,7193
9013,Connecticut,Tolland,Tolland,109,142,167,100,195,443,1149
48075,Texas,Childress,Childress,0,70,700,435,832,520,351
48077,Texas,Clay,Clay,101,127,216,137,81,82,28
48071,Texas,Chambers,Chambers,1032,1083,1369,1741,1526,2289,2487
48073,Texas,Cherokee,Cherokee,7641,9174,11565,12566,10634,8522,7129
24025,Maryland,Harford,Harford,5116,4604,4023,3981,5448,7420,9353
53001,Washington,Adams,Adams,9,48,5,2,10,47,26
24027,Maryland,Howard,Howard,3772,3502,3270,2804,3858,4049,5038
24021,Maryland,Frederick,Frederick,5399,4764,4713,4697,4292,5083,5786
20059,Kansas,Franklin,Franklin,490,509,576,470,346,309,358
24023,Maryland,Garrett,Garrett,107,45,24,5,9,39,51
20055,Kansas,Finney,Finney,189,250,293,229,262,208,105
20057,Kansas,Ford,Ford,93,134,238,248,263,274,311
24029,Maryland,Kent,Kent,6162,5246,4437,4057,3561,3868,3954
20051,Kansas,Ellis,Ellis,69,53,63,48,33,29,61
20053,Kansas,Ellsworth,Ellsworth,113,122,96,73,34,36,5
40145,Oklahoma,Wagoner,Wagoner,8761,7093,6753,5231,3713,2580,1986
40147,Oklahoma,Washington,Washington,434,763,1020,1301,1248,1347,1086
40141,Oklahoma,Tillman,Tillman,432,1371,2993,2410,1991,1937,1674
40143,Oklahoma,Tulsa,Tulsa,2754,10903,17817,17972,20987,26819,35244
53005,Washington,Benton,Benton,6,3,6,1,252,296,340
40149,Oklahoma,Washita,Washita,25,11,307,93,92,209,156
53007,Washington,Chelan,Chelan,8,42,67,59,59,35,50
1133,Alabama,Winston,Winston,54,81,83,112,101,77,16
1131,Alabama,Wilcox,Wilcox,27602,25009,19319,20571,18558,14592,11160
18181,Indiana,White,White,11,2,0,0,5,0,6
18183,Indiana,Whitley,Whitley,40,4,12,0,2,0,3
54027,West Virginia,Hampshire,Hampshire,303,196,194,183,127,162,136
54025,West Virginia,Greenbrier,Greenbrier,1779,1726,2329,2430,2014,1879,1672
54023,West Virginia,Grant,Grant,253,232,240,249,242,232,140
54021,West Virginia,Gilmer,Gilmer,17,38,21,2,24,1,25
55065,Wisconsin,Lafayette,Lafayette,5,30,1,2,4,2,0
55037,Wisconsin,Florence,Florence,0,2,0,0,0,1,10
54029,West Virginia,Hancock,Hancock,37,573,1073,1320,1338,1521,1252
1009,Alabama,Blount,Blount,1181,1418,1069,1263,819,835,587
1007,Alabama,Bibb,Bibb,7710,7817,6876,6630,5826,4417,3850
1005,Alabama,Barbour,Barbour,20456,19419,18659,18159,15419,12840,10389
1003,Alabama,Baldwin,Baldwin,5110,4781,6798,8071,9195,10309,10566
1001,Alabama,Autauga,Autauga,11717,10696,10907,11194,8357,7888,6911
8053,Colorado,Hinsdale,Hinsdale,6,3,3,3,0,0,0
8051,Colorado,Gunnison,Gunnison,44,32,13,24,6,13,23
8057,Colorado,Jackson,Jackson,0,0,0,0,8,0,0
8055,Colorado,Huerfano,Huerfano,323,294,254,163,105,54,17
31019,Nebraska,Buffalo,Buffalo,58,68,35,9,29,32,102
31017,Nebraska,Brown,Brown,5,0,1,0,1,0,0
8059,Colorado,Jefferson,Jefferson,134,72,64,56,123,133,388
31015,Nebraska,Boyd,Boyd,3,1,1,1,0,1,0
30019,Montana,Daniels,Daniels,fill,fill,2,0,1,0,0
31013,Nebraska,Box Butte,Box Butte,55,173,228,129,51,36,4
31011,Nebraska,Boone,Boone,5,11,1,0,2,0,0
15007,Hawaii,Kauai,Kauai,fill,fill,fill,fill,fill,7,30
15005,Hawaii,Kalawao,Kalawao,fill,fill,fill,fill,fill,0,fill
48507,Texas,Zavala,Zavala,1,1,19,59,95,64,61
15003,Hawaii,Honolulu,Honolulu,fill,fill,fill,fill,fill,4878,7393
30065,Montana,Musselshell,Musselshell,fill,2,1,0,5,3,0
15001,Hawaii,Hawaii,Hawaii,fill,fill,fill,fill,fill,33,164
15009,Hawaii,Maui,Maui,fill,fill,fill,fill,fill,25,3
51069,Virginia,Frederick,Frederick,694,499,458,415,389,431,372
39023,Ohio,Clark,Clark,5583,7586,8743,8689,10004,12251,13161
23011,Maine,Kennebec,Kennebec,139,96,69,98,135,99,62
28091,Mississippi,Marion,Marion,6063,6118,7616,8923,8389,7883,7102
23013,Maine,Knox,Knox,73,52,66,58,27,33,63
28093,Mississippi,Marshall,Marshall,19342,18841,17770,17965,17730,17239,14891
23015,Maine,Lincoln,Lincoln,18,5,5,3,9,3,8
28095,Mississippi,Monroe,Monroe,19535,15352,16054,16120,13707,12012,10382
23017,Maine,Oxford,Oxford,30,29,35,35,12,23,7
28097,Mississippi,Montgomery,Montgomery,8927,5733,6534,6757,6219,5968,5787
23019,Maine,Penobscot,Penobscot,246,250,294,270,256,746,341
28099,Mississippi,Neshoba,Neshoba,2949,2949,5480,6154,5567,4686,4098
31169,Nebraska,Thayer,Thayer,2,13,0,0,2,0,15
47079,Tennessee,Henry,Henry,5921,5558,4997,4353,3674,3322,3140
47071,Tennessee,Hardin,Hardin,2170,1932,1483,1522,1237,1084,1037
47073,Tennessee,Hawkins,Hawkins,1805,1201,1069,1001,1061,1050,954
47075,Tennessee,Haywood,Haywood,17710,16959,17227,17566,16220,14336,10723
39029,Ohio,Columbiana,Columbiana,967,1401,1533,1430,1350,1718,1625
47077,Tennessee,Henderson,Henderson,1918,1766,1693,1701,1701,1713,1727
55061,Wisconsin,Kewaunee,Kewaunee,0,3,0,1,5,0,0
19103,Iowa,Johnson,Johnson,65,68,112,89,201,317,414
27039,Minnesota,Dodge,Dodge,27,2,3,0,5,8,24
19101,Iowa,Jefferson,Jefferson,79,86,63,59,30,50,119
51036,Virginia,Charles City,Charles City,3765,3603,3757,3324,3514,4145,4569
19107,Iowa,Keokuk,Keokuk,17,17,19,2,3,3,0
55067,Wisconsin,Langlade,Langlade,10,12,1,0,3,17,7
19105,Iowa,Jones,Jones,83,67,61,58,51,63,93
27033,Minnesota,Cottonwood,Cottonwood,2,3,5,1,2,0,3
27031,Minnesota,Cook,Cook,0,15,15,13,0,13,16
19109,Iowa,Kossuth,Kossuth,6,8,5,6,11,9,4
27037,Minnesota,Dakota,Dakota,40,39,23,26,30,56,291
27035,Minnesota,Crow Wing,Crow Wing,2,13,4,9,11,10,53
12125,Florida,Union,Union,fill,fill,2846,2064,3230,1616,2302
47105,Tennessee,Loudon,Loudon,964,1037,677,609,529,445,439
47107,Tennessee,McMinn,Mcminn,1892,1923,1818,1835,1581,1786,1784
47101,Tennessee,Lewis,Lewis,854,668,389,264,147,122,125
47103,Tennessee,Lincoln,Lincoln,5502,4858,4058,4146,3627,3156,2772
48393,Texas,Roberts,Roberts,3,0,0,0,0,1,0
47109,Tennessee,McNairy,Mcnairy,1557,1529,1603,1348,1307,1248,1240
27107,Minnesota,Norman,Norman,2,1,0,0,2,0,3
27105,Minnesota,Nobles,Nobles,0,3,5,1,6,2,134
27103,Minnesota,Nicollet,Nicollet,11,17,42,49,38,47,74
27101,Minnesota,Murray,Murray,1,1,1,0,0,18,30
29067,Missouri,Douglas,Douglas,8,0,0,0,2,2,0
48455,Texas,Trinity,Trinity,3195,3420,3181,3061,2688,2031,2154
27109,Minnesota,Olmsted,Olmsted,33,42,38,19,68,68,182
39049,Ohio,Franklin,Franklin,14006,23917,35781,38938,51636,80235,104391
16029,Idaho,Caribou,Caribou,fill,0,0,0,0,0,0
19039,Iowa,Clarke,Clarke,43,34,37,27,12,4,0
39041,Ohio,Delaware,Delaware,671,543,636,650,704,877,1227
19037,Iowa,Chickasaw,Chickasaw,0,0,0,0,1,2,4
39043,Ohio,Erie,Erie,311,663,1150,1213,2221,4421,5218
19035,Iowa,Cherokee,Cherokee,5,24,15,10,3,13,0
39045,Ohio,Fairfield,Fairfield,449,396,462,382,387,475,658
19033,Iowa,Cerro Gordo,Cerro Gordo,148,361,322,341,296,213,232
39047,Ohio,Fayette,Fayette,1231,961,958,677,796,778,714
19031,Iowa,Cedar,Cedar,21,9,2,1,4,1,11
51810,Virginia,Virginia Beach City,Virginia Beach City,fill,fill,fill,fill,fill,515,15715
5099,Arkansas,Nevada,Nevada,6790,7115,7244,7346,5309,3857,3278
12043,Florida,Glades,Glades,fill,fill,816,912,764,1013,893
33017,New Hampshire,Strafford,Strafford,25,37,9,5,27,32,115
12047,Florida,Hamilton,Hamilton,5533,4263,3779,4119,3790,3425,3083
48395,Texas,Robertson,Robertson,14571,12474,11416,10756,8212,6543,5114
12045,Florida,Gulf,Gulf,fill,fill,1096,2385,1996,2385,2377
12049,Florida,Hardee,Hardee,fill,fill,931,725,748,1138,1270
33011,New Hampshire,Hillsborough,Hillsborough,77,113,108,68,231,312,652
46059,South Dakota,Hand,Hand,2,4,2,0,2,0,0
46051,South Dakota,Grant,Grant,0,0,3,1,8,0,0
33013,New Hampshire,Merrimack,Merrimack,122,65,104,72,74,65,152
46055,South Dakota,Haakon,Haakon,fill,4,1,1,1,1,0
46057,South Dakota,Hamlin,Hamlin,0,1,0,0,1,0,0
51149,Virginia,Prince George,Prince George,4551,5134,4226,4920,5915,4713,6305
5091,Arkansas,Miller,Miller,7163,7244,9542,9555,8795,8081,7599
51143,Virginia,Pittsylvania,Pittsylvania,20163,20000,21059,18989,20409,19944,19823
29069,Missouri,Dunklin,Dunklin,96,147,461,1047,1484,1613,1570
51147,Virginia,Prince Edward,Prince Edward,8458,8183,7546,7186,6860,5631,5258
56021,Wyoming,Laramie,Laramie,1607,372,327,273,1404,1096,1473
51145,Virginia,Powhatan,Powhatan,3633,3942,3155,2506,2419,2674,2799
33019,New Hampshire,Sullivan,Sullivan,27,19,36,32,22,19,43
21081,Kentucky,Grant,Grant,292,242,184,143,77,59,65
48397,Texas,Rockwall,Rockwall,731,1676,1955,1834,1688,1381,1013
21083,Kentucky,Graves,Graves,2899,2600,2194,2009,1752,1573,1381
21085,Kentucky,Grayson,Grayson,333,244,154,106,81,80,112
21087,Kentucky,Green,Green,1343,1088,979,903,743,609,453
21089,Kentucky,Greenup,Greenup,257,206,298,170,164,151,121
51830,Virginia,Williamsburg City,Williamsburg City,0,fill,854,835,871,928,1156
26071,Michigan,Iron,Iron,8,8,6,6,8,4,0
26073,Michigan,Isabella,Isabella,135,154,120,133,117,232,354
26075,Michigan,Jackson,Jackson,399,840,2481,2849,4992,7379,8482
26077,Michigan,Kalamazoo,Kalamazoo,790,806,1031,1244,2694,5756,9626
26079,Michigan,Kalkaska,Kalkaska,23,7,1,3,5,7,0
42103,Pennsylvania,Pike,Pike,72,47,59,21,27,11,44
5065,Arkansas,Izard,Izard,242,217,175,140,95,54,0
5067,Arkansas,Jackson,Jackson,6203,5571,5248,4077,3739,3466,3032
5061,Arkansas,Howard,Howard,3498,4265,3826,3971,2722,2260,2319
5063,Arkansas,Independence,Independence,1264,1075,894,801,642,527,513
35051,New Mexico,Sierra,Sierra,fill,6,4,53,8,20,16
51063,Virginia,Floyd,Floyd,837,675,515,502,490,532,480
5069,Arkansas,Jefferson,Jefferson,37692,39493,37116,35980,37835,35365,34572
45061,South Carolina,Lee,Lee,17251,18050,16246,16315,15498,14366,10964
17153,Illinois,Pulaski,Pulaski,5911,4969,4946,5943,5136,3799,2979
48269,Texas,King,King,8,10,60,18,62,44,49
17151,Illinois,Pope,Pope,523,341,167,160,101,70,207
46071,South Dakota,Jackson,Jackson,fill,2,4,5,1,3,0
17157,Illinois,Randolph,Randolph,1525,1592,1508,1852,1506,1453,1406
17155,Illinois,Putnam,Putnam,10,9,5,9,10,12,0
48181,Texas,Grayson,Grayson,7753,7694,7009,6817,6187,6421,6591
17159,Illinois,Richland,Richland,15,2,2,3,9,27,15
46077,South Dakota,Kingsbury,Kingsbury,13,2,1,2,4,0,0
36047,New York,Kings,Kings,22708,31912,68921,107263,208478,371405,654988
13319,Georgia,Wilkinson,Wilkinson,5155,5624,5114,5407,4742,4458,4334
13315,Georgia,Wilcox,Wilcox,5505,7302,5473,4876,3524,2639,2193
13317,Georgia,Wilkes,Wilkes,16598,16093,10088,9043,6904,5618,4813
46075,South Dakota,Jones,Jones,fill,7,8,3,1,1,0
13311,Georgia,White,White,397,396,384,367,347,299,360
13313,Georgia,Whitfield,Whitfield,1719,1345,1371,1463,1423,1904,2081
48185,Texas,Grimes,Grimes,9858,9810,9700,8814,6116,4844,4127
17081,Illinois,Jefferson,Jefferson,378,493,613,746,916,900,1209
17083,Illinois,Jersey,Jersey,89,60,55,41,52,44,78
17085,Illinois,Jo Daviess,Jo Daviess,20,41,32,12,71,8,8
17087,Illinois,Johnson,Johnson,164,116,171,156,60,23,47
2140,Alaska,Kobuk,Kobuk,fill,fill,fill,fill,fill,fill,18
17089,Illinois,Kane,Kane,760,1015,1787,1949,2551,4675,8996
42109,Pennsylvania,Snyder,Snyder,4,3,2,14,53,156,182
48469,Texas,Victoria,Victoria,3600,3119,2880,3126,3073,4005,4171
48467,Texas,Van Zandt,Van Zandt,1534,1516,2404,2194,1543,1427,1376
48465,Texas,Val Verde,Val Verde,153,185,243,309,355,727,719
45063,South Carolina,Lexington,Lexington,11638,11728,10998,8921,9458,10460,11049
48463,Texas,Uvalde,Uvalde,262,152,222,209,193,153,125
48461,Texas,Upton,Upton,12,0,249,211,207,272,171
20119,Kansas,Meade,Meade,32,11,36,53,10,3,5
20115,Kansas,Marion,Marion,132,92,50,30,32,22,17
20117,Kansas,Marshall,Marshall,244,161,92,50,29,14,21
20111,Kansas,Lyon,Lyon,786,739,754,635,528,497,591
20113,Kansas,McPherson,Mcpherson,3,0,4,21,41,67,92
36123,New York,Yates,Yates,134,121,105,138,89,121,148
36121,New York,Wyoming,Wyoming,88,94,76,322,581,807,1113
13229,Georgia,Pierce,Pierce,2742,2700,3245,2454,2402,2127,1680
48263,Texas,Kent,Kent,1,47,40,76,48,47,30
48265,Texas,Kerr,Kerr,248,282,477,653,564,702,748
48267,Texas,Kimble,Kimble,0,2,10,18,5,8,0
13221,Georgia,Oglethorpe,Oglethorpe,11338,11497,6424,5496,4313,3556,2830
13223,Georgia,Paulding,Paulding,1588,1607,1124,1298,1248,1203,1318
13225,Georgia,Peach,Peach,fill,fill,6565,6366,7173,8127,9152
13227,Georgia,Pickens,Pickens,440,324,795,480,401,386,328
51640,Virginia,Galax City,Galax City,fill,fill,fill,fill,fill,342,338
40049,Oklahoma,Garvin,Garvin,2318,2005,1443,1545,1057,1000,878
55059,Wisconsin,Kenosha,Kenosha,40,101,210,202,253,957,1933
40045,Oklahoma,Ellis,Ellis,2,16,1,0,2,0,0
40047,Oklahoma,Garfield,Garfield,822,591,874,1153,1481,1639,2142
40041,Oklahoma,Delaware,Delaware,38,17,0,9,12,2,20
40043,Oklahoma,Dewey,Dewey,52,30,22,5,12,0,0
9007,Connecticut,Middlesex,Middlesex,367,324,540,589,931,1865,3295
9005,Connecticut,Litchfield,Litchfield,758,702,739,649,589,845,1027
9003,Connecticut,Hartford,Hartford,2934,5985,8508,9129,16242,31715,55036
9001,Connecticut,Fairfield,Fairfield,3516,5043,8193,9881,16295,33614,56326
48001,Texas,Anderson,Anderson,11323,11162,11485,11796,9864,8358,6948
48003,Texas,Andrews,Andrews,1,0,0,7,34,279,274
48005,Texas,Angelina,Angelina,2435,2764,4248,4859,5944,7062,8380
9009,Connecticut,New Haven,New Haven,5634,7080,9346,10716,16584,34122,56954
20029,Kansas,Cloud,Cloud,58,62,39,28,10,9,11
24037,Maryland,St Mary's,St Mary's,7304,6437,5592,4724,5944,7186,8159
24035,Maryland,Queen Anne's,Queen Anne's,5814,5154,4379,4346,3868,4458,4486
24033,Maryland,Prince Georges,Prince Georges,11493,12056,14023,16224,22652,31011,91507
24031,Maryland,Montgomery,Montgomery,9235,8282,8266,8889,10330,11527,21345
20021,Kansas,Cherokee,Cherokee,1181,885,651,461,330,274,228
20023,Kansas,Cheyenne,Cheyenne,0,0,0,0,4,1,0
20025,Kansas,Clark,Clark,21,11,8,6,13,0,0
30077,Montana,Powell,Powell,43,39,28,24,14,16,0
20027,Kansas,Clay,Clay,111,98,54,53,11,13,0
24039,Maryland,Somerset,Somerset,9476,8889,8111,7061,7326,7300,7087
13135,Georgia,Gwinnett,Gwinnett,4431,4233,3343,3335,3044,3502,3641
13137,Georgia,Habersham,Habersham,711,615,685,667,616,913,1174
13131,Georgia,Grady,Grady,7403,7354,6627,6724,6418,6661,6356
13133,Georgia,Greene,Greene,11636,11200,6628,7155,6545,5873,5285
55051,Wisconsin,Iron,Iron,3,6,0,2,1,2,4
40139,Oklahoma,Texas,Texas,1,15,0,0,4,3,5
13139,Georgia,Hall,Hall,4030,3493,3390,3339,3916,5356,5977
56015,Wyoming,Goshen,Goshen,fill,23,4,11,5,2,23
51570,Virginia,Colonial Heights City,Colonial Heights City,fill,fill,fill,fill,9,14,6
56017,Wyoming,Hot Springs,Hot Springs,fill,45,28,6,2,12,0
54013,West Virginia,Calhoun,Calhoun,80,36,12,7,10,11,18
54011,West Virginia,Cabell,Cabell,2447,3011,4803,4671,4550,4760,4480
54017,West Virginia,Doddridge,Doddridge,8,1,20,5,2,1,5
54015,West Virginia,Clay,Clay,5,147,170,201,58,66,0
54019,West Virginia,Fayette,Fayette,9311,9636,11607,12138,11387,7601,5285
