Year,Date,Event,Reference
,12/5/2015,"The American Federation of Labor and Congress of Industrial Organizations 
merged into the AFL-CIO, becoming the largest labor union in the United 
States.",[351]
1956,6/29/2015,"The Federal Aid Highway Act of 1956, authorizing the construction of 41,000 
miles of the Interstate Highway System over a 20-year period, was signed 
into law.",[352]
,,"*Hungarian Revolution of 1956*: The United States refused to support the 
revolution.",[353]
,11/6/2015,"*United States presidential election, 1956*: President Dwight D. Eisenhower 
was reelected to a second term, defeating 1952 Democratic presidential 
nominee Adlai Stevenson II in the rematch election.",[354]
1957,1/5/2015,"The Eisenhower Doctrine, wherein a country could request American economic 
assistance or military aid if threatened by outside armed aggression, was 
proclaimed.",[355]
,1/10/2015,"Dr. King, Rustin, Lowrey, Shuttlesworth and Abernathy founded the Southern 
Christian Leadership Council (SCLC).",[356]
,9/4/2015,"*Little Rock Integration Crisis*: Arkansas Governor Orval Faubus deployed 
members of the Arkansas National Guard to prevent African-American students 
from integrating in the Little Rock Central High School.",[357]
,9/9/2015,"The Civil Rights Act of 1957, primarily a voting rights bill, was signed 
into law.",[358]
,9/23/2015,"President Eisenhower federalized the Arkansas National Guard and sent 
members of the 101st Airborne Division to escort the Little Rock Nine to 
their classrooms in response to Governor Faubus' efforts preventing school 
desegregation.",[359]
,10/4/2015,*Space race*: The Soviet Union launched *Sputnik*.,[360]
,12/2/2015,"*Atoms for Peace*: The Shippingport Atomic Power Station, the first 
commercial nuclear power plant, went into service.",[361]
1958,1/31/2015,*Explorer 1*: The first U.S. satellite was launched into space.,[362]
,7/29/2015,"The National Aeronautics and Space Act was signed into law; establishing 
the National Aeronautics and Space Administration.",[363]
,,Jack Kilby invented the integrated circuit.,[364]
,9/2/2015,The National Defense Education Act was signed into law.,[365]
1959,1/3/2015,"Alaska was admitted to the Union, becoming the 49th state.",[366]
,2/4/2015,"*The Day the Music Died*: Musicians Buddy Holly, Ritchie Valens, J. P. ""The 
Big Bopper"" Richardson, and pilot, Roger Peterson, were killed in a plane 
accident.",[367]
,5/4/2015,The First Grammy Awards was held.,[368]
,7/8/2015,"U.S. Army Master Sergeant Chester Ovnand and Major Dale M. Buis were killed 
in South Vietnam, being the first two official American casualties of the Vietnam 
War.",[369][370]
,8/21/2015,"Hawaii was admitted to the Union, becoming the 50th state.",[371]
1960,2/1/2015,"The *Greensboro sit-ins*, sparked by the refusal of four African American 
college students to move from a segregated lunch counter, began similar 
widespread acts of civil disobedience to protest Jim Crow laws.",[372]
,,The Student Nonviolent Coordinating Committee was founded.,[373]
,5/1/2015,"*U-2 incident*: A CIA U-2 spy plane was shot down while flying a 
reconnaissance mission over Soviet airspace.",[374]
,5/6/2015,"The Civil Rights Act of 1960, establishing federal inspection of local 
voter registration polls and penalties for those attempting to obstruct the 
right to vote, was signed into law.",[375]
,9/26/2015,"The first ever general election debate between presidential candidates was 
held between Democratic nominee John F. Kennedy and Republican nominee Richard 
M. Nixon.",[376]
,11/8/2015,"*United States presidential election, 1960*: Massachusetts Senator John F. 
Kennedy was elected President, defeating Vice President Richard M. Nixon 
and becoming the youngest person to be elected to the office of the 
Presidency.",[377][378]
,12/5/2015,"*Boynton v. Virginia*: In a 7-2 ruling, the Supreme Court ruled that 
African-Americans were protected from racial segregation on buses by the 
Interstate Commerce Act.",[379]
,12/20/2015,The National Front for the Liberation of Vietnam was formed.,[380]
1961,1/3/2015,The United States broke diplomatic relations with Cuba.,[381]
,1/17/2015,"President Eisenhower gave his farewell address which warned of the ""military–industrial 
complex"".",[382][383]
,2/7/2015,The United States embargo against Cuba came into force.,[384]
,3/1/2015,"President Kennedy signed Executive Order 10924, establishing the Peace Corps
.",[385]
,3/29/2015,"The Twenty-third Amendment to the United States Constitution, which granted 
electors to the District of Columbia, was ratified.",[386]
,"April 17 –
19","*Bay of Pigs Invasion*: The failed U.S. led invasion and attempted coup 
d'état of Cuban Prime Minister Fidel Castro took place.",[387][388]
,5/4/2015,"The *Freedom Rides* began in Washington D.C. after the failure to enforce 
the Supreme Court's ruling in *Boynton v. Virginia*.",[389][390]
,5/5/2015,"Alan Shepard piloted the Freedom 7 capsule to become the first American in 
space.",[391]
,5/25/2015,"President Kennedy proposed the Apollo program, with the goal of ""landing a 
man on the moon and returning him safely to the earth.""",[392]
,6/16/2015,"*Vietnam War*: President Kennedy deployed an additional 400 U.S. military 
advisors (900 total) to South Vietnam; totaling 3,200 American troops by 
1963, and more than 11,000 by mid-1964.",[393][394][395]
1962,2/20/2015,John Glenn orbited the Earth.,[396]
,3/26/2015,"A decision was reached in *Baker v. Carr* which enabled federal courts to 
intervene in and to decide reapportionment cases.",[397]
,6/25/2015,"A decision in *Engel v. Vitale* determined that it was unconstitutional for 
state officials to compose an official school prayer and require its 
recitation in public schools.",[398]
,8/5/2015,"Marilyn Monroe died of an apparent overdose from acute barbiturate poisoning 
at age thirty-six.",[399]
,October 14–27,"*Cuban missile crisis*: A nuclear confrontation took place between the 
United States and the Soviet Union.",[400]
1963,2/19/2015,"Betty Friedan's *The Feminine Mystique*, attributed to sparking Second-wave 
feminism, was published.",[401]
,3/18/2015,"*Gideon v. Wainwright*: In a unanimous decision, the Supreme Court ruled 
that the right to counsel is protected under the Sixth Amendment.",[402]
,4/3/2015,"*Birmingham campaign*: The nonviolent led protests against racial 
segregation in Birmingham, Alabama was launched by the SCLC.",[403]
,4/16/2015,"*Letter from a Birmingham Jail*: Dr. King was arrested amid the Birmingham 
campaign, writing an open letter defending the strategy nonviolent protest.",[404]
,6/10/2015,The Equal Pay Act of 1963 was signed into law.,[405]
,6/12/2015,"NAACP field secretary Medgar Evers was assassinated at his home in 
Mississippi by white supremacists, hours after President Kennedy gave his Civil 
Rights Address.",[406]
,8/28/2015,"*March on Washington for Jobs and Freedom*: Dr. Martin Luther King Jr., 
among other notable civil rights leaders, spoke on the Lincoln Memorial, 
giving his historic ""I Have a Dream"" speech at the march that drew over 
200,000 demonstrators.",[407][408][409]
,9/15/2015,"The *16th Street Baptist Church bombing*, carried out by a KKK splinter 
group, killed four African-Americans girls in what was seen as a turning 
point for the Civil Rights Movement.",[410]
,10/7/2015,The Atomic Test Ban Treaty was signed.,[411]
,11/22/2015,"President John F. Kennedy was assassinated by a sniper in Dallas, Texas 
while traveling in an open presidential motorcade with Texas Governor John 
Connally, who was injured in the incident.",[412]
,,"Vice President Lyndon B. Johnson was sworn in as President, hours after the 
assassination of President John F. Kennedy.",[413]
,11/24/2015,"Lee Harvey Oswald, the sniper who assassinated President Kennedy, was 
killed after being fatally shot by Dallas nightclub owner Jack Ruby.",[414]
,11/29/2015,"The Warren Commission was established by President Johnson to investigate 
the assassination of President Kennedy.",[415]
,12/17/2015,The Clean Air Act was signed into law.,[416]
1964,1/23/2015,"The Twenty-fourth Amendment to the United States Constitution, prohibiting 
both Congress and the states from conditioning the right to vote in federal 
elections on payment of a poll tax or other types of tax, was ratified.",[417]
,2/7/2015,*British Invasion*: The Beatles arrived in the United States.,[418]
,5/22/2015,"President Johnson proposed the Great Society, a set of social reforms aimed 
at the elimination of poverty and racial injustice.",[419][420]
,,"The *Freedom Summer* began, aimed to increase voter registration for 
African Americans.",[421]
,7/2/2015,"The Civil Rights Act of 1964, outlawing both segregation and major forms of 
discrimination against blacks and women, was signed into law.",[422]
,8/2/2015,"*Tonkin Gulf incident*, a false flag operation with 'deliberately skewed' 
intelligence to expand U.S. military involvement in Vietnam, occurred.",[423][424][425]
,8/4/2015,"*Mississippi civil rights workers' murders*: The bodies of three missing 
civil rights activists, working to register voters as a part of the Freedom 
Summer, were found near Philadelphia, Mississippi.",[426]
,8/10/2015,"The Gulf of Tonkin Resolution, not a formal declaration of war in Vietnam, 
was signed by President Johnson",[427]
,8/20/2015,The Economic Opportunity Act was signed into law.,[428]
,11/3/2015,"*United States presidential election, 1964*: President Lyndon B. Johnson 
defeated Arizona Senator Barry Goldwater.",[429]
,12/10/2015,"Dr. King became the youngest person ever to be awarded the Nobel Peace Prize, 
for his 'nonviolent campaign against racism'.",[430]
1965,,"*Vietnam War*: Johnson escalates United States military involvement in the 
war, with the number of U.S. troops totaling more than 184,000.",[395]
,2/21/2015,"African American Muslim minister and human rights activist Malcolm X was 
assassinated at the Audubon Ballroom in Harlem, New York.",[431]
,3/2/2015,*Operation Rolling Thunder* began in the Vietnam War.,[432]
,3/7/2015,"The *Selma to Montgomery marches*, known as ""Bloody Sunday"", drew national 
outrage after Alabama State Troopers severely beat and used tear gas 
against the nonviolent demonstrators.",[433]
,3/25/2015,"In a third attempt to march from Selma to Montgomery, 3,200 civil rights 
demonstrators reached the Alabama State Capitol, where they were joined 
with a crowd of 25,000, after four days of marching.",[434]
,4/17/2015,"*March Against the Vietnam War*: The Students for a Democratic Society 
(SDS) and the SNCC led the first major anti-war demonstration against the 
Vietnam War in Washington, D.C., with over 25,000 protesters.",[435]
,7/30/2015,"The Social Security Amendments of 1965 was signed into law, establishing 
Medicaid and Medicare in the United States.",[436]
,8/6/2015,The Voting Rights Act was signed into law.,[437]
,"August 11 -
17","The *Watts riots* began in the Watts neighborhood of Los Angeles, resulting 
in the deaths of 34 people.",[438]
,9/9/2015,"The United States Department of Housing and Urban Development (HUD) was 
established, after the Housing and Urban Development Act of 1965 was signed 
into law by President Johnson.",[439]
,10/3/2015,"The Immigration Act of 1965 was signed into law, abolishing the National 
Origins Formula.",[440]
,11/8/2015,The Higher Education Act of 1965 was passed.,[441]
1966,1/18/2015,"Robert C. Weaver was sworn in as the first United States Secretary of 
Housing and Urban Development, becoming the first African American to hold 
a cabinet-level position.",[442]
,6/13/2015,"*Miranda v. Arizona*: The Supreme Court ruled that not informing suspects 
held in custody on their right to counsel and silence violated protection 
against self incrimination, establishing what later became known as ""Miranda 
Rights"".",[443]
,6/30/2015,The feminist group the National Organization for Women (NOW) was formed.,[444]
,7/4/2015,The Freedom of Information Act was signed into law.,[445]
,9/9/2015,The National Traffic and Motor Vehicle Safety Act was passed.,[446]
1967,1/3/2015,"Jack Ruby died of a pulmonary embolism at Parkland Hospital, where Oswald 
had died and where President Kennedy had been pronounced dead after his 
assassination.",[447]
,1/8/2015,"*Operation Cedar Falls*, the largest ground operation of the Vietnam War, 
began; with over 500,000 with the number of U.S. troops totaling more than 
500,000 by the end of 1967.",[448][449]
,1/15/2015,"*Super Bowl I*: In the first Super Bowl took place between the Green Bay 
Packers and the Kansas City Chiefs.",[450]
,2/23/2015,"The Twenty-fifth Amendment to the United States Constitution, establishing 
succession to the Presidency and procedures for filling a vacancy in the 
office of the Vice President, was ratified.",[451]
,4/1/2015,The United States Department of Transportation was established.,[452]
,4/15/2015,"*National Mobilization Committee to End the War in Vietnam*: 400,000 
demonstrators march in New York City from Central Park to the United 
Nations Headquarters against the Vietnam War; with 100,000 protesting the 
war in San Francisco, being one of the largest demonstrations against the 
Vietnam War.",[453]
,,"The *Summer of Love* took place, marking a defining period for the counterculture 
movement in the U.S.",[454][455]
,6/12/2015,"*Loving v. Virginia*: The Supreme Court overruled the prohibition of interracial 
marriage.",[456]
,7/1/2015,American Samoa became self-governing under a new Constitution.,[457]
,10/2/2015,"Thurgood Marshall was sworn in as an Associate Justice of the Supreme Court; 
becoming the first African-American Justice to serve on the court.",[458]
1968,1/30/2015,"The *Tet Offensive*, a campaign of surprise attacks by the Viet Cong, began.",[459]
,4/4/2015,"Civil rights leader Dr. Martin Luther King Jr. was assassinated by a sniper 
at the Lorraine Motel in Memphis, Tennessee.",[460]
,"April 4 -
May 29","*King assassination riots*: The assassination of Dr. King prompted mass 
riots in Chicago, Washington D.C., Baltimore, Kansas City and Louisville; 
leaving 36 people dead.",[461]
,4/11/2015,"The Civil Rights Act of 1968, providing equal housing protection, was 
signed into law.",[462]
,6/5/2015,"Robert F. Kennedy was assassinated at the Ambassador Hotel in Los Angeles 
by Sirhan Sirhan, after winning the California primary while campaigning 
for President.",[463]
,7/1/2015,The United States signed the Nuclear Non-Proliferation Treaty.,[464]
,August 25–29,"Chicago City Police clashed with anti-war protesters at the 1968 Democratic 
National Convention in Chicago.",[465]
,10/22/2015,The Gun Control Act of 1968 was signed into law.,[466]
,11/5/2015,"*United States presidential election, 1968*: Former Vice President Richard 
Nixon was elected President, defeating incumbent Vice President Hubert 
Humphrey and Alabama Governor George Wallace.",[467]
,,"Shirley Chisholm of New York became the first African-American woman 
elected to Congress.",[468]
,12/21/2015,*Apollo 8*: The first manned spacecraft to leave Earth's orbit occurred.,[469]
1969,3/18/2015,"*Operation Menu*: The United States began its covert bombings of North 
Vietnamese positions in Cambodia and Laos.",[470]
,6/29/2015,"The *Stonewall riots* took place, beginning after police raided the Stonewall 
Inn in New York City, which would mark the start of the modern gay 
liberation movement in the United States.",[471]
,7/18/2015,"*Chappaquiddick incident*: Senator Edward M. Kennedy drove off a bridge on 
his way home from a party on Chappaquiddick Island, killing his passenger, Mary 
Jo Kopechne.",[472]
,7/20/2015,"*Apollo 11*: Americans astronauts Neil Armstrong, Buzz Aldrin and Michael 
Collins became the first men to land on the moon, with Armstrong becoming 
the first man to walk on the moon's surface.",[473]
,August 15–19,"The *Woodstock Festival* took place in White Lake, New York, proclaimed as 
""three days of peace and music"", it became one of the defining events 
representing counterculture movement.",[474]
,11/3/2015,"*Vietnamization*: President Nixon outlaid his administration's Vietnam 
policy in response to the Tet Offensive.",[475]
,11/10/2015,*Sesame Street* premiered on National Educational Television.,[476]
,11/15/2015,"*Moratorium to End the War in Vietnam*: Over 500,000 peaceful demonstrators 
protested the Vietnam War in Washington D.C., being the largest anti-war 
protest in U.S. history.",[477]
,12/15/2015,"President Nixon announces the withdrawal of 50,000 U.S. troops from 
Vietnam; reaching the peak level of U.S. troops in Vietnam at 541,000.",[478][479]
1970,1/1/2015,The National Environmental Policy Act was signed into law.,[480]
,5/4/2015,"*Kent State shootings*: Shootings occurred during anti-war, student 
protests that grew violent, resulting in the deaths of four demonstrators 
by the Ohio National Guard.",[481]
,4/20/2015,"President Nixon announces the further withdrawal of 150,000 troops in 
Vietnam.",[482]
,4/30/2015,President Nixon announces the beginning of the Cambodian Campaign.,[483]
,4/22/2015,The first Earth Day was observed.,[484]
,7/4/2015,"*American Top 40*, hosted by radio personality Casey Kasem, which featured 
a weekly countdown, premiered.",[485]
,10/5/2015,"The Public Broadcasting Service (PBS) began operations, succeeding National 
Educational Television (NET).",[486]
,12/2/2015,The United States Environmental Protection Agency was established.,[487]
,12/29/2015,"The Occupational Safety and Health Act was signed into law, establishing 
OSHA.",[488]
1971,1/25/2015,"Charles Manson is sentenced to death (with his sentence later commuted to 
life in prison) for his involvement in the Tate-LaBianca murders.",[489]
,4/1/2015,"The Public Health Cigarette Smoking Act was signed into law, banning 
cigarette advertisements on radio and television and issuing a Surgeon 
General's warning on tobacco products.",[490]
,6/13/2015,"*Pentagon Papers*: The New York Times publishes its first story on the 
classified 7,000 page Department of Defense study, leaked by study 
participant Daniel Ellsberg, on the U.S.'s political-military involvement 
in Vietnam since 1945.",[491][492]
,6/17/2015,"President Nixon declares a ""*War on Drugs*"", stating that drug use in the 
U.S. is ""public enemy number one.""",[493]
,6/30/2015,"*New York Times Co. v. United States*: The Supreme Court ruled that the 
Pentagon Papers may be published, rejecting government injunctions as 
unconstitutional prior restraint.",[494]
,7/1/2015,"The Twenty-sixth Amendment to the United States Constitution, lowering the 
voting age from 21 to 18, was ratified.",[495]
,8/15/2015,*Nixon Shock*: Nixon ended the gold standard in the United States.,[496]
,9/13/2015,"*Attica Prison riot*: After four days of holding 39 prison staff members 
hostage, a raid that led to a riot at the Attica Correctional Facility was 
launched by New York State Police; leaving 43 staff and prisoners dead and 
being the deadliest prison riot in U.S. history.",[497]
1972,February 21–28,"*1972 Nixon visit to China*: President Nixon became the first U.S. 
President to visit the People's Republic of China, marking the end of 25 
years of isolation between the U.S. and China.",[498][499]
,5/26/2015,"*SALT I Treaty*: The Anti-Ballistic Missile Treaty was signed between the 
Soviet Union and United States at the Moscow Summit.",[500]
,June 9–10,"*Black Hills flood*: Flooding in the Black Hills region of Western South 
Dakota killed 238 people.",[501]
,6/17/2015,"*Watergate burglaries*: Five men were arrested for the burglary of the Democratic 
National Committee headquarters at the Watergate complex in Washington, D.C.",[502]
,6/23/2015,"The *Education Amendments of 1972*, enacting Title IX and prohibiting 
gender based discrimination of educational institutions, was signed into 
law.",[503]
,6/29/2015,"*Furman v. Georgia*: The Supreme Court ruled that application of the death 
penalty outside of cases of homicide violated protection against cruel and 
unusual punishment.",[504]
,10/17/2015,"The Clean Water Act is enacted, was overridden by the Senate.",[505]
,11/7/2015,"*U.S. presidential election, 1972*: President Nixon was reelected to a 
second term, defeating South Dakota Senator George McGovern.",[506]
,12/14/2015,"*Apollo 17* became the final mission of the Apollo program and last human 
spaceflight to the moon.",[507]
,12/18/2015,"*Operation Linebacker II*: The final major U.S. bombing campaign in North 
Vietnam began.",[508]
1973,1/22/2015,"*Roe v. Wade*: The Supreme Court ruled that state laws banning abortion 
before 24 weeks as unconstitutional.",[509]
,1/23/2015,"The Paris Peace Accords was signed, ending the United States' direct 
involvement in the Vietnam War.",[510]
,5/3/2015,"The Sears Towers opened in Chicago, becoming the World's tallest building.",[511]
,5/14/2015,The space station Skylab was launched by NASA.,[512]
,5/17/2015,The United States Senate Watergate Committee held its first hearing.,[513]
,10/10/2015,"Vice President Spiro T. Agnew resigned in disgrace as part of a plea 
bargain after being charged with tax evasion, extortion and conspiracy.",[514]
,10/20/2015,"*Saturday Night Massacre*: President Nixon fired three top legal advisers 
over the disposition of secret tapes and the actions of the Special 
Prosecutor in regard to the Watergate scandal.",[515]
,October,"*1973 oil crisis*: Gasoline prices in the U.S. quadrupled over a 
three-month period in response to reduced supply of gasoline and heating 
oil.",[516]
,12/6/2015,"House Minority Leader Gerald Ford of Michigan was sworn in as Vice 
President after the resignation of Spiro Agnew; becoming the first Vice 
President to be appointed under the Twenty-fifth Amendment.",[517]
1974,April 3–4,"*1974 Super Outbreak*: An outbreak of 148 tornadoes hit thirteen states, 
killing 330 people.",[518]
,4/8/2015,"Hank Aaron of the Atlanta Braves broke Babe Ruth's home run record by 
hitting his 715th career home run.",[519]
,6/30/2015,"The House Judiciary Committee voted to impeach President Nixon over his 
actions in the Watergate Scandal.",[520]
,8/9/2015,"President Richard Nixon becomes the first and only President to resign from 
office. After submitting his resignation in an address to the nation the 
evening before, Nixon stated that ""the interest of the Nation must always 
come before any personal considerations.""",[521][522][523]
,,"Vice President Gerald Ford is sworn in as President after the resignation 
of President Nixon.",[524]
,9/8/2015,"President Ford pardoned former President Richard Nixon for any crimes he 
may have committed as President during the Watergate Scandal.",[525]
,12/31/2015,"Executive Order 6102, restricting the private holding of gold within the 
United States, was lifted.",[526]
1975,1/27/2015,"The *Church Committee*, Chaired by Idaho Senator Frank Church, was 
established in the aftermath of the Watergate Scandal; investigating the 
illegal activities of the CIA, NSA and FBI.",[527]
,4/4/2015,Bill Gates founded Microsoft Corporation.,[528]
,4/30/2015,"*Fall of Saigon*: Saigon, the capitol of South Vietnam, was captured by the People's 
Army of Vietnam and the Viet Cong, causing the South to surrender and 
officially ending the Vietnam War.",[529]
,7/15/2015,"*Apollo–Soyuz Test Project*: The first joint U.S.–Soviet space mission 
began in Kazakhstan.",[530]
,9/5/2015,"President Ford was uninjured after a failed assassination attempt by Manson 
Family cult member Lynette Fromme in Sacramento, California.",[531]
1976,4/1/2015,Steve Jobs founded Apple Inc.,[532]
,7/2/2015,"*Gregg v. Georgia*: The Supreme Court affirmed that the death penalty did 
not violate the Eighth Amendment.",[533]
,7/4/2015,"*United States Bicentennial*: Americans celebrated the United States 
bicentennial.",[534]
,10/19/2015,The Copyright Act of 1976 was signed into law.,[535]
,11/2/2015,"*U.S. presidential election, 1976*: Georgia Governor Jimmy Carter was 
elected President, defeating incumbent Gerald Ford.",[69]
1977,1/23/2015,The television miniseries *Roots* aired on ABC.,[536]
,5/25/2015,"*Star Wars* is released and goes on to become the highest-grossing film of 
its time.",[537]
,July 13–14,"*New York City blackout of 1977*: A twenty-five hour blackout, resulting in 
looting and other disorder, took place.",[538]
,8/4/2015,The United States Department of Energy is established.,[539]
,8/16/2015,"Elvis Presley, the ""King of Rock and Roll"", died at his home in Graceland.",[540]
,9/7/2015,"The *Torrijos–Carter Treaties* between the U.S. and Panama, relinquishing 
U.S. control of the Panama Canal, were ratified.",[541]
,Mid-October,"The *Commodore PET*, the first personal computer for retail sale, was 
released.",[542]
1978,9/17/2015,"The Camp David Accords were signed by Menachem Begin of Israel and Anwar 
Sadat of Egypt at Camp David.",[543]
,10/25/2015,The Foreign Intelligence Surveillance Act was signed into law.,[544]
,10/27/2015,The Humphrey Hawkins Full Employment Act was signed into law.,[545]
,11/18/2015,"*Jonestown Massacre*: The mass-suicide of 909 American citizens who were 
members of the religious cult the Peoples Temple, led by Jim Jones, 
occurred in Guyana. With the addition murders of nine others, including 
Congressman Leo Ryan, the 918 deaths were the largest loss of American life 
in a single incident and in a non-natural disaster at the time.",[546][547][548]
,11/27/2015,"*Moscone–Milk assassinations*: Harvey Milk, the first openly gay person 
elected to public office, and San Francisco Mayor George Moscone, were 
assassinated by Dan White in San Francisco.",[549]
1979,3/28/2015,"*Three Mile Island accident*: The partial nuclear meltdown and release of 
small amounts of radioactive gases and iodine of a nuclear power plant in Dauphin 
County, Pennsylvania began; considered to be the worst commercial nuclear 
power accident in U.S. history.",[550]
,5/21/2015,"*White Night Riots*: After the lenient sentence of Moscone-Milk assassin 
Dan White, over 5,000 demonstrators in San Francisco's gay community staged 
what turned into a violent protest.",[551]
,5/25/2015,"*American Airlines Flight 191* flight crashed shortly after takeoff from O'Hare 
International Airport, killing all 271 aboard and two on the ground; being 
the deadliest aviation accident on U.S. soil.",[552]
,10/17/2015,The United States Department of Education is established.,[553]
,11/4/2015,"*Iran hostage crisis*: The U.S. embassy in Tehran was raided by student 
activists of the Iranian Revolution after overthrown CIA instated Shah Mohammad 
Reza Pahlavi was allowed into the U.S.; beginning the 444-day capture of 
the embassy and the holding of fifty-two American embassy personnel.",[554]
1980,3/18/2015,The Refugee Act was signed into law.,[555]
,3/21/2015,"*1980 Summer Olympics boycott*: Protesting the Soviet invasion of 
Afghanistan, President Carter announces the U.S. would boycott the 1980 
Summer Olympics held in Moscow.",[556]
,4/4/2015,The United States Department of Health and Human Services was established.,[557]
,4/24/2015,"*Operation Eagle Claw*: Eight U.S. military personnel were killed after the 
failed attempt to rescue the fifty-two American hostages held at the U.S. 
embassy in Tehran.",[558]
,5/18/2015,"*Eruption of Mount St. Helens*: The eruption of Mount St. Helens in 
Washington killed fifty-seven people.",[559]
,6/1/2015,"CNN, the first 24-hour cable news channel, was founded.",[560]
,11/4/2015,"*U.S. presidential election, 1980*: California Governor Ronald Reagan was 
elected President, defeating incumbent Jimmy Carter and Illinois 
Representative John B. Anderson.",[561]
,12/8/2015,"Musician John Lennon was assassinated outside of The Dakota in New York City
.",[562]
1981,1/20/2015,"Iran releases the 52 U.S. hostages held in Tehran after 444 days (the day 
of the swearing in of President Ronald Reagan); signing the Algiers Accords.",[563]
,3/30/2015,"*Reagan assassination attempt*: President Reagan and three others were 
injured after an assassination attempt of the President by John Hinckley, 
outside of the Hilton Washington in Washington D.C.",[564]
,4/12/2015,"*STS-1*: The Space Shuttle *Columbia* was launched, being the first flight 
of NASA's Space Shuttle program.",[565]
,7/17/2015,"*Hyatt Regency walkway collapse*: A hotel walkway collapsed in Kansas City, 
Missouri, killing 114 and injuring over two hundred.",[566]
,8/1/2015,"MTV, the first 24-hour cable network dedicated to airing music videos, was 
launched.",[567]
,8/4/2015,*Reaganomics*: The Kemp-Roth Tax Cut was signed into law.,[568]
,9/21/2015,"Sandra Day O'Connor was sworn in as an Associate Justice of the Supreme 
Court, becoming the first woman to serve on the court.",[569]
,11/16/2015,"President Reagan signed NDSS 17, authorizing the beginning of CIA support 
for contra rebels in Nicaragua.",[570]
1982,6/12/2015,"Anti-nuclear protests were held at Central Park in New York City, with 
nearly one million peaceful demonstrators protesting the arms race.",[571]
,8/25/2015,"Multinational forces, including 800 Marines, were deployed to Lebanon to 
oversee the withdrawal of Palestine Liberation Organization after Lebanese 
Civil War.",[572]
1983,3/23/2015,President Reagan proposes the Strategic Defense Initiative.,[573][574]
,4/18/2015,"*1983 United States embassy bombing*: The U.S. embassy in Beirut was bombed 
by members of the Islamic Jihad Organization (IJO), killing 63 people, 
including 17 U.S. government personnel.",[575]
,10/23/2015,"*Beirut barracks bombing*: 241 United States Marine Corps personnel were 
killed in a suicide bombing by members of the IJO in Lebanon.",[576]
,10/25/2015,"*Operation Urgent Fury*: Under executive action from President Reagan, the 
U.S. deployed 1,900 military personnel in the Invasion of Grenada.",[577]
1984,4/23/2015,"U.S. Secretary of Health and Human Services Margaret Heckler announces Dr. 
Robert Gallo and fellow NCI researcher's discovery of HTLV-III as the virus 
that causes AIDS.",[578]
,5/8/2015,"*1984 Summer Olympics boycott*: The Soviet Union, later joined by most of 
the Eastern Bloc, announced the boycott of the 1984 Summer Olympics held in 
Los Angeles.",[579]
,7/18/2015,"*San Ysidro McDonald's massacre*: A mass shooting in San Ysidro, California 
left 22 (including the perpetrator) dead and injured 19 others; being the 
deadliest mass shooting in U.S. history at the time.",[580]
,11/6/2015,"*U.S. presidential election, 1984*: President Reagan was reelected to a 
second term, defeating former Vice President Walter Mondale.",[581]
1985,7/13/2015,"*Live Aid*, a concert attended by 100,000 people and watched by 1.9 billion 
viewers in 150 countries at the John F. Kennedy Stadium in Philadelphia, 
was held, raising global awareness of famine in Ethiopia.",[582]
,,"*Arrow Air Flight 1285*, carrying U.S. Army personnel to Egypt, crashed in Newfoundland, 
Canada, killing all 256 passengers on board and being the deadliest single 
aviation accident in the history of the U.S. military.",[583]
1986,1/20/2015,"The first Martin Luther King, Jr. Day is observed.",[584]
,1/28/2015,"*Space Shuttle Challenger disaster*: The Space Shuttle *Challenger* 
exploded due to a leak in the shuttle's solid rocket booster 73 seconds 
after departing from the Kennedy Space Center, killing all seven crew 
members aboard, including school teacher Christa McAuliffe.",[585]
,4/15/2015,"*Operation El Dorado Canyon*: The U.S. began air strikes against Libya 
after the Berlin discotheque bombing.",[586]
,5/19/2015,The *Firearm Owners Protection Act* was signed into law.,[587]
,5/25/2015,"*Hands Across America*: Over five million Americans formed a human chain 
across the Continental United States, holding hands for 15 minutes to raise 
awareness of hunger and homelessness.",[588]
,10/1/2015,The *Goldwater–Nichols Act* was signed into law.,[589]
,10/9/2015,The Fox Broadcasting Company was founded.,[590]
,10/21/2015,"The *Compact of Free Association* was signed by the U.S., giving 
Independence to the Marshall Islands.",[591]
,10/22/2015,The Tax Reform Act of 1986 was signed into law.,[592]
,11/3/2015,"*Iran–Contra affair*: The Lebanese magazine *Ash-Shiraa* first revealed 
that the United States had secretly sold weapons to Iran in exchange for 
American hostages, amid a U.S. arms embargo.",[593][594]
,11/6/2015,The *Immigration Reform and Control Act* was signed into law.,[595]
,11/25/2015,"After the resignation of National Security Advisor John Poindexter, Attorney 
General Edwin Meese revealed that the profits from the U.S. arms trade with 
Iran were illegally diverted to support contra groups in Nicaragua.",[593][596]
,11/26/2015,"The Tower Commission is established by President Reagan to investigate the *Iran-Contra 
affair*.",[597]
1987,5/5/2015,Joint special House and Senate hearings on the *Iran-Contra affair* began.,[598]
,6/12/2015,"During a visit to Berlin, President Reagan challenged Soviet Premier Mikhail 
Gorbachev to ""tear down this wall"", referring to the Berlin Wall.",[599]
,10/19/2015,"*Black Monday*: The Dow Jones Industrial Average fell 508 points in a 
single session, losing 22.6% of its value.",[600]
,10/23/2015,"The U.S. Senate rejects President Reagan's Supreme Court nomination of Robert 
Bork.",[601]
